,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
18011,PRESERVED_SPECIMEN,Couepia janzenii,69322,GBIF,Hammel 17328,Manuel Vargas,,10.04,-84.0,"Cordillera Volcánica Central Lower edge of reserve, along Braulio Carrillo highway, on steep hills rising immediately from Río Sucio flood plain; Finca of Mora family.",1989.0,1,1,1,,WGS84,2019,Barry E. Hammel|Carlos Gómez|Isidro A. Chacón G.
20864,PRESERVED_SPECIMEN,Couepia janzenii,barcode-00898817,GBIF,17328,Manuel Vargas,,10.041667,-84.008333,"Cordillera Volcánica Central. Lower edge of reserve, along Braulio Carrilo highway, Finca of Mora family",1989.0,1,1,1,,WGS84,2019,"B. E. Hammel, C. Gómez & I. A. Chacón"
48354,PRESERVED_SPECIMEN,Couepia janzenii,111837,GBIF,Aguilar Fernández 130,Manuel Vargas,,10.402778,-84.05833299999999,"Parque Nacional Braulio Carrillo, Estación Magsasay",1991.0,1,1,1,,WGS84,2019,Reinaldo Aguilar
49840,PRESERVED_SPECIMEN,Couepia janzenii,1325229,GBIF,Folsom 5672,Manuel Vargas,,8.681944999999999,-80.601389,"Around Rivera Sawmill, 7 km north of El Copé, road to summit.",1977.0,1,1,1,,WGS84,2019,James P. Folsom|Robert L. Dressler|Kerry Dressler|C. Meyers|J. Daley|A. Jaslow
50236,PRESERVED_SPECIMEN,Couepia janzenii,1369296,GBIF,Jiménez Madrigal 2095,Manuel Vargas,,10.48,-83.71,"Llanura de Tortuguero. Cariari, Palmitas, El Triángulo. Las Brisas. Finca Guillermo Acosta.",1996.0,1,1,1,,WGS84,2019,Quírico Jiménez
51692,PRESERVED_SPECIMEN,Couepia janzenii,1725052,GBIF,Galdames 3779,Manuel Vargas,,9.275,-79.31388000000001,Altos de Pacora,1997.0,1,1,1,,WGS84,2019,Carmen Galdames
