,BasisOfRec,Binomial,CatalogNo,Citation,CollectID,Compiler,Data_sens,Dec_Lat,Dec_Long,Dist_comm,Event_Year,Origin,Presence,Seasonal,Sens_comm,SpatialRef,YrCompiled,recordedBy
17809,PRESERVED_SPECIMEN,Pleurothyrium hexaglandulosum,55771,GBIF,Hammel 14781,Manuel Vargas,,9.5,-79.666667,Río Guanche; ca. 5 km upstream from road to Portobelo. In forest and along slopes near river,1986.0,1,1,1,,WGS84,2019,Barry E. Hammel|Jill Trainer
17812,PRESERVED_SPECIMEN,Pleurothyrium hexaglandulosum,55779,GBIF,Croat 59792,Manuel Vargas,,8.68,-83.53,Osa Península. 10 km W of the main Rincon-Pto. Jimenez road.,1985.0,1,1,1,,WGS84,2019,Thomas B. Croat|Michael H. Grayum
25252,PRESERVED_SPECIMEN,Pleurothyrium hexaglandulosum,145442,GBIF,,Manuel Vargas,,9.5,-79.66,Colón: Río Guanche; ca 5 km upstream from road to Portobelo; in forest and along slopes near river. On slopes above river.,1986.0,1,1,1,,WGS84,2019,"Hammel, Barry E."
34142,PRESERVED_SPECIMEN,Pleurothyrium hexaglandulosum,V0075501F,GBIF,14781,Manuel Vargas,,9.1667,-80.0,,1986.0,1,1,1,,WGS84,2019,B. E. Hammel & J. Trainer
34363,PRESERVED_SPECIMEN,Pleurothyrium hexaglandulosum,V0075502F,GBIF,14781,Manuel Vargas,,8.5714,-79.9106,,1986.0,1,1,1,,WGS84,2019,B. E. Hammel & J. Trainer
34615,PRESERVED_SPECIMEN,Pleurothyrium hexaglandulosum,,GBIF,59792,Manuel Vargas,,10.0,-84.8333,,1985.0,1,1,1,,WGS84,2019,T. B. Croat
40285,PRESERVED_SPECIMEN,Pleurothyrium hexaglandulosum,L  0056297,GBIF,,Manuel Vargas,,9.5,-79.666667,"PanamaColon, Rio Guanche ca 5 km upstream from raod to POrtobelo",1986.0,1,1,1,,WGS84,2019,Hammer B; Trainer J
40286,PRESERVED_SPECIMEN,Pleurothyrium hexaglandulosum,L  0056296,GBIF,,Manuel Vargas,,9.5,-79.666667,"PanamaColon, Rio Guanche ca 5 km upstream from raod to POrtobelo",1986.0,1,1,1,,WGS84,2019,Hammer B; Trainer J
51241,PRESERVED_SPECIMEN,Pleurothyrium hexaglandulosum,1592049,GBIF,Aguilar 1188,Manuel Vargas,,8.71166,-80.08444,Alto del Chutral,1998.0,1,1,1,,WGS84,2019,Salomón Aguilar|A. Somoza|J.C. Villarreal A.|I. Tejada|D. Luque|N. Daguerre
